timestamp	step	train/loss
1658139427468	0	1.3515745401382446
1658139492669	1	0.46250295639038086
1658139558184	2	0.2516976594924927
1658139623771	3	0.16810892522335052
1658139688608	4	0.12598469853401184
1658139752915	5	0.10107602179050446
1658139818682	6	0.08301307260990143
1658139883513	7	0.07022226601839066
1658139950148	8	0.060110583901405334
1658140015657	9	0.0530892089009285
1658140081129	10	0.04684527963399887
1658140146408	11	0.04166524112224579
1658140211126	12	0.03751703351736069
1658140275350	13	0.03449911251664162
1658140340624	14	0.03182655945420265
1658140406082	15	0.02899065986275673
1658140472476	16	0.026566822081804276
1658140538159	17	0.0242647472769022
1658140602863	18	0.02271881140768528
1658140668003	19	0.02143036387860775
