timestamp	step	train/sparse_categorical_accuracy
1658139427469	0	0.6535874605178833
1658139492670	1	0.9477365016937256
1658139558187	2	0.9735212326049805
1658139623773	3	0.9832372665405273
1658139688610	4	0.9871876835823059
1658139752917	5	0.989643394947052
1658139818685	6	0.990924596786499
1658139883515	7	0.9926863312721252
1658139950151	8	0.9939141869544983
1658140015659	9	0.9947149157524109
1658140081132	10	0.9958360195159912
1658140146410	11	0.9962630867958069
1658140211128	12	0.9966367483139038
1658140275353	13	0.9971172213554382
1658140340626	14	0.9974909424781799
1658140406085	15	0.9979180097579956
1658140472479	16	0.998131513595581
1658140538162	17	0.9983450770378113
1658140602865	18	0.998718798160553
1658140668005	19	0.9985052347183228
